Date,Close
3/2/2017,50.096001
3/3/2017,50.313999
3/6/2017,50.242001
3/7/2017,49.717999
3/8/2017,49.374001
3/9/2017,48.98
3/10/2017,48.737999
3/13/2017,49.234001
3/14/2017,51.599998
3/15/2017,51.146
3/16/2017,52.41
3/17/2017,52.299999
3/20/2017,52.383999
3/21/2017,50.136002
3/22/2017,51.001999
3/23/2017,50.956001
3/24/2017,52.632
3/27/2017,54.043999
3/28/2017,55.490002
3/29/2017,55.476002
3/30/2017,55.584
3/31/2017,55.66
4/3/2017,59.703999
4/4/2017,60.740002
4/5/2017,59
4/6/2017,59.740002
4/7/2017,60.507999
4/10/2017,62.478001
4/11/2017,61.742001
4/12/2017,59.368
4/13/2017,60.799999
4/17/2017,60.287998
4/18/2017,60.049999
4/19/2017,61.104
4/20/2017,60.501999
4/21/2017,61.119999
4/24/2017,61.605999
4/25/2017,62.757999
4/26/2017,62.034
4/27/2017,61.726002
4/28/2017,62.813999
5/1/2017,64.566002
5/2/2017,63.778
5/3/2017,62.203999
5/4/2017,59.091999
5/5/2017,61.669998
5/8/2017,61.438
5/9/2017,64.251999
5/10/2017,65.043999
5/11/2017,64.620003
5/12/2017,64.961998
5/15/2017,63.175999
5/16/2017,63.402
5/17/2017,61.222
5/18/2017,62.612
5/19/2017,62.166
5/22/2017,62.07
5/23/2017,60.771999
5/24/2017,62.043999
5/25/2017,63.366001
5/26/2017,65.028
5/30/2017,67.019997
5/31/2017,68.202003
6/1/2017,68.073997
6/2/2017,67.970001
6/5/2017,69.463997
6/6/2017,70.57
6/7/2017,71.93
6/8/2017,74
6/9/2017,71.463997
6/12/2017,71.802002
6/13/2017,75.190002
6/14/2017,76.132004
6/15/2017,75.068001
6/16/2017,74.279999
6/19/2017,73.959999
6/20/2017,74.447998
6/21/2017,75.279999
6/22/2017,76.522003
6/23/2017,76.690002
6/26/2017,75.498001
6/27/2017,72.473999
6/28/2017,74.248001
6/29/2017,72.150002
6/30/2017,72.321999
7/3/2017,70.524002
7/5/2017,65.417999
7/6/2017,61.765999
7/7/2017,62.644001
7/10/2017,63.209999
7/11/2017,65.444
7/12/2017,65.903999
7/13/2017,64.681999
7/14/2017,65.556
7/17/2017,63.914001
7/18/2017,65.648003
7/19/2017,65.052002
7/20/2017,65.984001
7/21/2017,65.68
7/24/2017,68.503998
7/25/2017,67.919998
7/26/2017,68.769997
7/27/2017,66.891998
7/28/2017,67.014
7/31/2017,64.694
8/1/2017,63.914001
8/2/2017,65.178001
8/3/2017,69.417999
8/4/2017,71.382004
8/7/2017,71.033997
8/8/2017,73.043999
8/9/2017,72.706001
8/10/2017,71.080002
8/11/2017,71.573997
8/14/2017,72.760002
8/15/2017,72.466003
8/16/2017,72.582001
8/17/2017,70.384003
8/18/2017,69.491997
8/21/2017,67.571999
8/22/2017,68.269997
8/23/2017,70.554001
